question	answer	set
5*9	45	multiplication_20x
5*10	50	multiplication_20x
5*11	55	multiplication_20x
5*12	60	multiplication_20x
5*13	65	multiplication_20x
5*14	70	multiplication_20x
5*15	75	multiplication_20x
5*16	80	multiplication_20x
5*17	85	multiplication_20x
5*18	90	multiplication_20x
5*19	95	multiplication_20x
5*20	100	multiplication_20x
6*1	6	multiplication_20x
6*2	12	multiplication_20x
6*3	18	multiplication_20x
6*4	24	multiplication_20x
6*5	30	multiplication_20x
6*6	36	multiplication_20x
6*7	42	multiplication_20x
6*8	48	multiplication_20x
6*9	54	multiplication_20x
6*10	60	multiplication_20x
6*11	66	multiplication_20x
6*12	72	multiplication_20x
6*13	78	multiplication_20x
6*14	84	multiplication_20x
6*15	90	multiplication_20x
6*16	96	multiplication_20x
6*17	102	multiplication_20x
6*18	108	multiplication_20x
6*19	114	multiplication_20x
6*20	120	multiplication_20x
7*1	7	multiplication_20x
7*2	14	multiplication_20x
7*3	21	multiplication_20x
7*4	28	multiplication_20x
7*5	35	multiplication_20x
7*6	42	multiplication_20x
7*7	49	multiplication_20x
7*8	56	multiplication_20x
7*9	63	multiplication_20x
7*10	70	multiplication_20x
7*11	77	multiplication_20x
7*12	84	multiplication_20x
7*13	91	multiplication_20x
7*14	98	multiplication_20x
7*15	105	multiplication_20x
7*16	112	multiplication_20x
7*17	119	multiplication_20x
7*18	126	multiplication_20x
7*19	133	multiplication_20x
7*20	140	multiplication_20x
8*1	8	multiplication_20x
8*2	16	multiplication_20x
8*3	24	multiplication_20x
8*4	32	multiplication_20x
8*5	40	multiplication_20x
8*6	48	multiplication_20x
8*7	56	multiplication_20x
8*8	64	multiplication_20x
8*9	72	multiplication_20x
8*10	80	multiplication_20x
8*11	88	multiplication_20x
8*12	96	multiplication_20x
8*13	104	multiplication_20x
8*14	112	multiplication_20x
8*15	120	multiplication_20x
8*16	128	multiplication_20x
8*17	136	multiplication_20x
8*18	144	multiplication_20x
8*19	152	multiplication_20x
8*20	160	multiplication_20x
9*1	9	multiplication_20x
9*2	18	multiplication_20x
9*3	27	multiplication_20x
9*4	36	multiplication_20x
9*5	45	multiplication_20x
9*6	54	multiplication_20x
9*7	63	multiplication_20x
9*8	72	multiplication_20x
9*9	81	multiplication_20x
9*10	90	multiplication_20x
9*11	99	multiplication_20x
9*12	108	multiplication_20x
9*13	117	multiplication_20x
9*14	126	multiplication_20x
9*15	135	multiplication_20x
9*16	144	multiplication_20x
9*17	153	multiplication_20x
9*18	162	multiplication_20x
9*19	171	multiplication_20x
9*20	180	multiplication_20x
10*1	10	multiplication_20x
10*2	20	multiplication_20x
10*3	30	multiplication_20x
10*4	40	multiplication_20x
10*5	50	multiplication_20x
10*6	60	multiplication_20x
10*7	70	multiplication_20x
10*8	80	multiplication_20x
10*9	90	multiplication_20x
10*10	100	multiplication_20x
10*11	110	multiplication_20x
10*12	120	multiplication_20x
10*13	130	multiplication_20x
10*14	140	multiplication_20x
10*15	150	multiplication_20x
10*16	160	multiplication_20x
10*17	170	multiplication_20x
10*18	180	multiplication_20x
10*19	190	multiplication_20x
10*20	200	multiplication_20x
11*1	11	multiplication_20x
11*2	22	multiplication_20x
11*3	33	multiplication_20x
11*4	44	multiplication_20x
11*5	55	multiplication_20x
11*6	66	multiplication_20x
11*7	77	multiplication_20x
11*8	88	multiplication_20x
11*9	99	multiplication_20x
11*10	110	multiplication_20x
11*11	121	multiplication_20x
11*12	132	multiplication_20x
11*13	143	multiplication_20x
11*14	154	multiplication_20x
11*15	165	multiplication_20x
11*16	176	multiplication_20x
11*17	187	multiplication_20x
11*18	198	multiplication_20x
11*19	209	multiplication_20x
11*20	220	multiplication_20x
12*1	12	multiplication_20x
12*2	24	multiplication_20x
12*3	36	multiplication_20x
12*4	48	multiplication_20x
12*5	60	multiplication_20x
12*6	72	multiplication_20x
12*7	84	multiplication_20x
12*8	96	multiplication_20x
12*9	108	multiplication_20x
12*10	120	multiplication_20x
12*11	132	multiplication_20x
12*12	144	multiplication_20x
12*13	156	multiplication_20x
12*14	168	multiplication_20x
12*15	180	multiplication_20x
12*16	192	multiplication_20x
12*17	204	multiplication_20x
12*18	216	multiplication_20x
12*19	228	multiplication_20x
12*20	240	multiplication_20x
13*1	13	multiplication_20x
13*2	26	multiplication_20x
13*3	39	multiplication_20x
13*4	52	multiplication_20x
13*5	65	multiplication_20x
13*6	78	multiplication_20x
13*7	91	multiplication_20x
13*8	104	multiplication_20x
13*9	117	multiplication_20x
13*10	130	multiplication_20x
13*11	143	multiplication_20x
13*12	156	multiplication_20x
13*13	169	multiplication_20x
13*14	182	multiplication_20x
13*15	195	multiplication_20x
13*16	208	multiplication_20x
13*17	221	multiplication_20x
13*18	234	multiplication_20x
13*19	247	multiplication_20x
13*20	260	multiplication_20x
14*1	14	multiplication_20x
14*2	28	multiplication_20x
14*3	42	multiplication_20x
14*4	56	multiplication_20x
14*5	70	multiplication_20x
14*6	84	multiplication_20x
14*7	98	multiplication_20x
14*8	112	multiplication_20x
14*9	126	multiplication_20x
14*10	140	multiplication_20x
14*11	154	multiplication_20x
14*12	168	multiplication_20x
14*13	182	multiplication_20x
14*14	196	multiplication_20x
14*15	210	multiplication_20x
14*16	224	multiplication_20x
14*17	238	multiplication_20x
14*18	252	multiplication_20x
14*19	266	multiplication_20x
14*20	280	multiplication_20x
15*1	15	multiplication_20x
15*2	30	multiplication_20x
15*3	45	multiplication_20x
15*4	60	multiplication_20x
15*5	75	multiplication_20x
15*6	90	multiplication_20x
15*7	105	multiplication_20x
15*8	120	multiplication_20x
15*9	135	multiplication_20x
15*10	150	multiplication_20x
15*11	165	multiplication_20x
15*12	180	multiplication_20x
15*13	195	multiplication_20x
15*14	210	multiplication_20x
15*15	225	multiplication_20x
15*16	240	multiplication_20x
15*17	255	multiplication_20x
15*18	270	multiplication_20x
15*19	285	multiplication_20x
15*20	300	multiplication_20x
16*1	16	multiplication_20x
16*2	32	multiplication_20x
16*3	48	multiplication_20x
16*4	64	multiplication_20x
16*5	80	multiplication_20x
16*6	96	multiplication_20x
16*7	112	multiplication_20x
16*8	128	multiplication_20x
16*9	144	multiplication_20x
16*10	160	multiplication_20x
16*11	176	multiplication_20x
16*12	192	multiplication_20x
16*13	208	multiplication_20x
16*14	224	multiplication_20x
16*15	240	multiplication_20x
16*16	256	multiplication_20x
16*17	272	multiplication_20x
16*18	288	multiplication_20x
16*19	304	multiplication_20x
16*20	320	multiplication_20x
17*1	17	multiplication_20x
17*2	34	multiplication_20x
17*3	51	multiplication_20x
17*4	68	multiplication_20x
17*5	85	multiplication_20x
17*6	102	multiplication_20x
17*7	119	multiplication_20x
17*8	136	multiplication_20x
17*9	153	multiplication_20x
17*10	170	multiplication_20x
17*11	187	multiplication_20x
17*12	204	multiplication_20x
17*13	221	multiplication_20x
17*14	238	multiplication_20x
17*15	255	multiplication_20x
17*16	272	multiplication_20x
17*17	289	multiplication_20x
17*18	306	multiplication_20x
17*19	323	multiplication_20x
17*20	340	multiplication_20x
18*1	18	multiplication_20x
18*2	36	multiplication_20x
18*3	54	multiplication_20x
18*4	72	multiplication_20x
18*5	90	multiplication_20x
18*6	108	multiplication_20x
18*7	126	multiplication_20x
18*8	144	multiplication_20x
18*9	162	multiplication_20x
18*10	180	multiplication_20x
18*11	198	multiplication_20x
18*12	216	multiplication_20x
18*13	234	multiplication_20x
18*14	252	multiplication_20x
18*15	270	multiplication_20x
18*16	288	multiplication_20x
18*17	306	multiplication_20x
18*18	324	multiplication_20x
18*19	342	multiplication_20x
18*20	360	multiplication_20x
19*1	19	multiplication_20x
19*2	38	multiplication_20x
19*3	57	multiplication_20x
19*4	76	multiplication_20x
19*5	95	multiplication_20x
19*6	114	multiplication_20x
19*7	133	multiplication_20x
19*8	152	multiplication_20x
19*9	171	multiplication_20x
19*10	190	multiplication_20x
19*11	209	multiplication_20x
19*12	228	multiplication_20x
19*13	247	multiplication_20x
19*14	266	multiplication_20x
19*15	285	multiplication_20x
19*16	304	multiplication_20x
19*17	323	multiplication_20x
19*18	342	multiplication_20x
19*19	361	multiplication_20x
19*20	380	multiplication_20x
20*1	20	multiplication_20x
20*2	40	multiplication_20x
20*3	60	multiplication_20x
20*4	80	multiplication_20x
20*5	100	multiplication_20x
20*6	120	multiplication_20x
20*7	140	multiplication_20x
20*8	160	multiplication_20x
20*9	180	multiplication_20x
20*10	200	multiplication_20x
20*11	220	multiplication_20x
20*12	240	multiplication_20x
20*13	260	multiplication_20x
20*14	280	multiplication_20x
20*15	300	multiplication_20x
20*16	320	multiplication_20x
20*17	340	multiplication_20x
20*18	360	multiplication_20x
20*19	380	multiplication_20x
20*20	400	multiplication_20x
Alabama	Montgomery	us_capitals
Alaska	Juneau	us_capitals
Arizona	Phoenix	us_capitals
Arkansas	Little Rock	us_capitals
California	Sacramento	us_capitals
Colorado	Denver	us_capitals
Connecticut	Hartford	us_capitals
Delaware	Dover	us_capitals
Florida	Tallahassee	us_capitals
Georgia	Atlanta	us_capitals
Hawaii	Honolulu	us_capitals
Idaho	Boise	us_capitals
Illinois	Springfield	us_capitals
Indiana	Indianapolis	us_capitals
Iowa	Des Moines	us_capitals
Kansas	Topeka	us_capitals
Kentucky	Frankfort	us_capitals
Louisiana	Baton Rouge	us_capitals
Maine	Augusta	us_capitals
Maryland	Annapolis	us_capitals
Massachusetts	Boston	us_capitals
Michigan	Lansing	us_capitals
Minnesota	Saint Paul	us_capitals
Mississippi	Jackson	us_capitals
Missouri	Jefferson City	us_capitals
Montana	Helena	us_capitals
Nebraska	Lincoln	us_capitals
Nevada	Carson City	us_capitals
New Hampshire	Concord	us_capitals
New Jersey	Trenton	us_capitals
New Mexico	Santa Fe	us_capitals
New York	Albany	us_capitals
North Carolina	Raleigh	us_capitals
North Dakota	Bismarck	us_capitals
Ohio	Columbus	us_capitals
Oklahoma	Oklahoma City	us_capitals
Oregon	Salem	us_capitals
Pennsylvania	Harrisburg	us_capitals
Rhode Island	Providence	us_capitals
South Carolina	Columbia	us_capitals
South Dakota	Pierre	us_capitals
Tennessee	Nashville	us_capitals
Texas	Austin	us_capitals
Utah	Salt Lake City	us_capitals
Vermont	Montpelier	us_capitals
Virginia	Richmond	us_capitals
Washington	Olympia	us_capitals
West Virginia	Charleston	us_capitals
Wisconsin	Madison	us_capitals
Wyoming	Cheyenne	us_capitals
🐈	cat	animals
🐺	dog	animals
🦁	lion	animals
🐅	tiger	animals
🐴	horse	animals
🐄	cow	animals
🐷	pig	animals
🐘	elephant	animals
🦨	elephant	animals
🐪	camel	animals
🦙	llama	animals
🦒	giraffe	animals
🐁	mouse	animals
🐇	rabbit	animals
🐻	bear	animals
🦘	kangaroo	animals
🦃	turkey	animals
🐒	monkey	animals
🐧	penguin	animals
🦇	bat	animals
Aguascalientes	Aguascalientes	estados
Baja California	Mexicali	estados
Baja California Sur	La Paz	estados
Campeche	Campeche	estados
Chiapas	Tuxtla Gutiérrez	estados
Chihuahua	Chihuahua	estados
Coahuila	Saltillo	estados
Colima	Colima	estados
Durango	Durango	estados
Guanajuato	Guanajuato	estados
Guerrero	Chilpancingo	estados
Hidalgo	Pachuca	estados
Jalisco	Guadalajara	estados
Estado de México	Toluca	estados
Michoacán	Morelia	estados
Morelos	Cuernavaca	estados
Nayarit	Tepic	estados
Nuevo León	Monterrey	estados
Oaxaca	Oaxaca	estados
Puebla	Puebla	estados
Querétaro	Querétaro	estados
Quintana Roo	Chetumal	estados
San Luis Potosí	San Luis Potosí	estados
Sinaloa	Culiacán	estados
Sonora	Hermosillo	estados
Tabasco	Villahermosa	estados
Tamaulipas	Ciudad Victoria	estados
Tlaxcala	Tlaxcala	estados
Veracruz	Xalapa	estados
Yucatán	Mérida	estados
Zacatecas	Zacatecas	estados
